Topic,Count,Name,Representation,Representative_Docs
97,919,97_funds_municipal_money market_muni,"['funds', 'municipal', 'money market', 'muni', 'attract', 'usbased', 'municipal bond', 'bond funds', 'inflows', 'outflows']","['us municipal bond funds post $490.9 mln weekly inflows-lipper', 'u.s. municipal bond funds post $421.8 million in inflows: lipper', 'u.s. municipal bond funds post another week of inflows: lipper']"
98,919,98_meeting_stockholders_shareholders_meeting stockholders,"['meeting', 'stockholders', 'shareholders', 'meeting stockholders', 'meeting shareholders', 'investor meeting', 'shareholder meeting', 'special meeting', 'proxy', 'faruqi']","['mechanical technology annual stockholders meeting update', 'china zenix announces 2015 annual shareholders meeting', 'xmet announces results of its annual shareholders meeting']"
99,902,99_list_fastest_fastest growing_5000,"['list', 'fastest', 'fastest growing', '5000', 'magazine', 'named', 'growing', 'companies', 'consecutive year', 'forbes']","['inilex named to inc. 500 5000 list of fastest growing companies in america', 'isend named to inc. magazine 2013 inc. 500 list of america fastest-growing private companies', '3degrees named to inc. magazine list of america fastest-growing private companies -- the inc. 5000']"
100,900,100_india_foreign_share sale_foreign investment,"['india', 'foreign', 'share sale', 'foreign investment', 'economic times', 'raise', 'rupees', 'bln rupees', 'times', 'cairn']","['india press-uno minda eyes 2 bln rupees acquisition in europe - economic times', 'india press-oberois to invest 10 bln rupees in bangalore, goa-times of india', 'india press-india mcx plans stake sales to raise 9 bln rupees-economic times']"
101,894,101_advisory_media advisory_media_minister,"['advisory', 'media advisory', 'media', 'minister', 'reminder', 'government', 'harper', 'make', 'oliver', 'bmo']","['media advisory: minister mackay to make a funding announcement', 'media advisory: minister mackay to make a funding announcement', 'media advisory: cae inc.']"
102,891,102_transfer_assets_midstream_williams,"['transfer', 'assets', 'midstream', 'williams', 'buy', 'energy transfer', 'sell', 'midstream partners', 'sell assets', 'partners']","['williams sues merger partner energy transfer', 'amerigas to buy energy transfer propane operations', 'energy transfer to buy sunoco for $5.3 billion']"
103,887,103_profit falls_falls_profit_profit rises,"['profit falls', 'falls', 'profit', 'profit rises', 'cost cuts', 'kraft', 'profit revenue', 'kellogg', 'cuts', 'net falls']","['j&j profit falls 6.3% on deal costs', 'hindalco profit falls 10%', 'keb profit falls in quarter']"
104,882,104_target_raises_price_cuts,"['target', 'raises', 'price', 'cuts', 'bank raises', 'jefferies', 'raises guidance', 'raises profit', 'neutral', 'barclays']","['refile-research alert-kate spade & co: keybanc raises price target', 'research alert-k&s;: esn equinet raises price target', 'research alert-grafton: liberum raises price target']"
105,879,105_changes_downgrades_ratings_upgrades,"['changes', 'downgrades', 'ratings', 'upgrades', 'equity', 'parties', 'textsp ratings', 'interested', 'bv', 'fitch downgrades']","['endgame: the end of the debt supercycle and how it changes everything', 'changfeng reports management and board changes', 'netdimensions holdings limited: directorate changes']"
106,878,106_lending_lenders_small businesses_small,"['lending', 'lenders', 'small businesses', 'small', 'loans', 'loan', 'businesses', 'payday', 'small business', 'online']","['2014 report on the chinese online lending industry', 'business lending by u.s. banks on the rise', 'banks are lending, but not enough']"
107,866,107_issue_bln yuan_bonds_yuan,"['issue', 'bln yuan', 'bonds', 'yuan', 'worth', 'approval', 'bln', 'gets', 'bond issue', 'murray']","['brief-sanxiang to issue 3-year bonds worth 1 bln yuan', 'brief-huatai securities gets regulatory approval to issue up to 6.6 bln yuan bonds', 'brief-china soochow securities gets regulatory approval for bonds issue worth 3 bln yuan']"
108,856,108_deutsche_deutsche bank_bskyb_sky,"['deutsche', 'deutsche bank', 'bskyb', 'sky', 'broad', '85 ept', 'bank', '85', 'ept', 'telekom']","['deutsche bank: sell stock, or not', 'deutsche bank fornir i dati superx europei a rosenblatt', 'deutsche bank gaat europese superx-gegevens verstrekken aan rosenblatt']"
109,852,109_loans_bad_shadow_bad loans,"['loans', 'bad', 'shadow', 'bad loans', 'china banks', 'china', 'local', 'lending', 'chinese banks', 'banks']","['china banks fear bad loans could rise', 'china banks bad loans jump by most in 8 years', 'banks take more hits on bad loans']"
110,852,110_construction_equipment_machinery_cement,"['construction', 'equipment', 'machinery', 'cement', 'equipment market', 'market databook', 'databook', 'materials', 'construction industry', 'construction market']","['construction equipment market in indonesia 2015-2019 with caterpillar, jcb, liebherr, sany group & volvo construction dominating', 'the future of the construction equipment industry in france', 'how is the construction sector in albania faring']"
111,850,111_uk_watchdog_uk banks_uk bank,"['uk', 'watchdog', 'uk banks', 'uk bank', 'market uk', 'banks', 'lending', 'competition', 'rules', 'england']","['uk retail occasions: halloween', 'uk banks say lending down, robberies up in 2009', 'uk new financial watchdog will be no pushover - ceo']"
112,849,112_trump_regulation_doddfrank_cfpb,"['trump', 'regulation', 'doddfrank', 'cfpb', 'gop', 'house', 'reform', 'mnuchin', 'tracy', 'democrats']","['video analysis: weekly briefing on trump and financial regulation', 'video analysis: trump and the future of financial regulation', 'video analysis: financial regulation under trump']"
113,847,113_venture_venture capital_joint venture_joint,"['venture', 'venture capital', 'joint venture', 'joint', 'crowdfunding', 'startups', 'fundraising', 'capital', 'raised', 'capital investment']","['isekurity announces joint venture', 'venture capital warms to european biotechs', 'venture capital and its discontents']"
114,846,114_united_union_united technologies_united states,"['united', 'union', 'united technologies', 'united states', 'credit union', 'states', 'pacific', 'united continental', 'technologies', 'continental']","['text - fitch cuts united technologies ratings', 'united technologies raises view', 'united technologies profit rises']"
115,844,115_china_china growth_china economy_premier,"['china', 'china growth', 'china economy', 'premier', 'gdp growth', 'china trade', 'gdp', 'inflation', 'reforms', 'li']","['china growth in focus as exports and imports fall', 'no forceful stimulus to lift china economy in near term-premier li', 'a song and dance in china']"
116,844,116_nyse_cme_ice_bats,"['nyse', 'cme', 'ice', 'bats', 'cme group', 'glitch', 'nasdaq', 'trading', 'cattle', 'futures']","['nyse says it would take over nasdaq stock quote system', 'cme targets nyse business', 'cme on sidelines of nyse deal']"
117,844,117_swings_solar_swings loss_swings profit,"['swings', 'solar', 'swings loss', 'swings profit', 'loss', 'sun', 'suncor', 'sun life', 'profit', 'solar power']","['chemours swings to loss', 'canadian solar swings to profit', 'ldk solar swings to loss']"
118,841,118_mideast_egypt_gulf_saudi,"['mideast', 'egypt', 'gulf', 'saudi', 'dubai', 'stocksmarkets', 'bourses', 'qatar', 'oil', 'mkts']","['mideast stocks-saudi, egypt rise in line with oil, global markets', 'mideast stocks-mobinil lifts egypt; gulf mostly up in slow trade', 'u.s. weans itself from mideast oil']"
119,840,119_video_tv_television_advertising,"['video', 'tv', 'television', 'advertising', 'digital', 'ad', 'digital media', 'media', 'radio', 'investmentpitchcom']","['macrosoft announces third annual april fools webpage and video', 'nowthisnews raises $4.8m to be the buzzfeed of video journalism', 'global pay tv video encoders market']"
120,840,120_index_conference board_employment_manufacturing,"['index', 'conference board', 'employment', 'manufacturing', 'ism', 'leading', 'activity', 'economic', 'board', 'kansas']","['the conference board leading economic index r lei for the u.k. increases again', 'china and the curse of the skyscraper index - decoder', 'the factortrust underbanked index unmasks the underbanked demographic']"
121,838,121_york times_times_noble_new york,"['york times', 'times', 'noble', 'new york', 'york', 'barnes', 'ad', 'gannett', 'tribune', 'business']","['new york times business news - may 5', 'new york times business news - may 2', 'new york times business news - may 8']"
122,833,122_pay_compensation_bonus_ceo,"['pay', 'compensation', 'bonus', 'ceo', 'package', 'ordered', 'million settle', 'million', 'executive', 'settle']","['abraxas ceo volunteers for pay cut', 'u.s. to pay siga up to $2.8 billion in biodefense deal', 'biomarin to pay up to $840 million for prosensa']"
123,829,123_investment trust_realty_estate investment_trust,"['investment trust', 'realty', 'estate investment', 'trust', 'real estate', 'estate', 'realty trust', 'real', 'reit', 'properties']","['innvest real estate investment trust announces monthly distribution', 'innvest real estate investment trust announces monthly distribution', 'innvest real estate investment trust announces monthly distribution']"
124,828,124_icahn_stake_gate_bid,"['icahn', 'stake', 'gate', 'bid', 'ebay', 'apple', 'carl', 'cnbc', 'takes', 'rejects']","['icahn boosts lions gate bid', 'cvr shareholders back icahn bid', 'icahn launches bid for cvr energy']"
125,821,125_treasury_treasuries_repo_anglo american,"['treasury', 'treasuries', 'repo', 'anglo american', 'anglo', 'ny fed', 'maturing', 'fed', 'ny', 'federal reserve']","['reg - persimmon plc - treasury stock', 'reg - persimmon plc - treasury stock', 'reg - dcc plc - treasury shares']"
126,820,126_book_amazon_publishing_books,"['book', 'amazon', 'publishing', 'books', 'new book', 'author', 'amazoncom', 'publishers', 'dec', 'digital']","['financial briefing book: news digest', 'financial briefing book: news digest', 'financial briefing book: news digest']"
127,809,127_opens_open_opens new_lower,"['opens', 'open', 'opens new', 'lower', 'set open', 'set', 'open lower', 'stocks', 'office', 'higher']","['canada re-opens immigrant investor program', 'fgi finance opens an office in the uk', 'qps qualitix opens china office']"
128,802,128_canadian_bank canada_canada_fraser,"['canadian', 'bank canada', 'canada', 'fraser', 'housing', 'institute', 'economics', 'bmo', 'royal bank', 'coming']","['brief-cit to sell its canadian portfolio to laurentian bank of canada', 'bank of canada says risk to financial system rises', 'bank of canada poloz says was never an advocate for a lower c$']"
129,800,129_wheat_corn_farm_exports,"['wheat', 'corn', 'farm', 'exports', 'farmers', 'crop', 'grain', 'drought', 'rice', 'export']","['corn, wheat rebound from last week losses', 'corn, wheat slide', 'u.s. raises forecasts for corn, wheat exports']"
130,796,130_street journal_journal_street_feb,"['street journal', 'journal', 'street', 'feb', 'june', '500', 'times', 'oct', 'stage', 'eaton']","['wall street journal - feb 9', 'wall street journal - may 2', 'wall street journal - june 8']"
131,788,131_dips_stocks_late_losses,"['dips', 'stocks', 'late', 'losses', 'dow', 'nasdaq', 'sp', 'lower', 'falls', 'stocks lower']","['us stocks snapshot-wall st extends losses, nasdaq down 1 pct', 'us stocks snapshot-wall st extends losses, dow falls 1 pct', 'us stocks snapshot-nasdaq drops 2 pct as wall st extends losses']"
132,787,132_rights_number_voting_disclosure,"['rights', 'number', 'voting', 'disclosure', 'total', 'share capital', 'nv', 'rights offering', 'article', 'monthly']","['ipsos: monthly disclosure of the total number of shares and voting rights', 'gecina: monthly disclosure of the total number of shares and voting rights', 'cegid: disclosure of total number of voting rights and number of shares in the capital']"
133,787,133_repurchase_buyback_share buyback_share,"['repurchase', 'buyback', 'share buyback', 'share', 'program', 'buybacks', 'programme', 'authorization', 'authorizes', 'stock']","['infusystem holdings announces share repurchase program', 'bic : description of the share repurchase program', 'bic : description of the share repurchase program']"
134,787,134_yen_dollar yen_dollar_japan,"['yen', 'dollar yen', 'dollar', 'japan', 'boj', 'risk aversion', 'aversion', 'euro', 'intervention', 'gains']","['dollar recoups losses against yen', 'yen rises against dollar', 'yen rises against dollar']"
135,784,135_defense_military_aerospace_pentagon,"['defense', 'military', 'aerospace', 'pentagon', 'aviation', 'space', 'budget', 'industry market', 'competitive landscape', 'commercial']","['global aerospace, defense sector to grow 3 pct -report', 'in aerospace, defense is an offense', 'in defense of cash']"
136,778,136_drug_fda_treatment_cancer,"['drug', 'fda', 'treatment', 'cancer', 'hepatitis', 'amgen', 'gilead', 'drugs', 'lilly', 'merck']","['fda questions hemispherx fatigue drug', 'fda to review merck drug as first-line treatment for lung cancer', 'fda warns about osteoporosis drug']"
137,772,137_swot_analysis_framework_profile,"['swot', 'analysis', 'framework', 'profile', 'swot analysis', 'company profile', 'fundamental', 'industry analysis', 'company', 'competitors']","['abbey national plc: swot analysis & company profile', 'copa holdings, s.a.: swot analysis & company profile', 'gilbane, inc.: swot analysis & company profile']"
138,771,138_dow_500_dow jones_sp,"['dow', '500', 'dow jones', 'sp', 'jones', 'record', 'sp 500', 'record high', 'record highs', 'hits record']","['dow jones high low - dec 2', 'dow jones indexes announces dow jones country titans and dow jones select dividend', 'dow jones venturewire names nimbula a company to watch']"
139,769,139_spain_spanish_bankia_euro,"['spain', 'spanish', 'bankia', 'euro', 'bailout', 'bad bank', 'downgrade', 'banks', 'bbva', 'bad']","['spain markets plan to fund banks', 'spain ibex falls 3.9%', 'bank of spain to take over cam']"
140,768,140_6month_forecast_parent_div,"['6month', 'forecast', 'parent', 'div', '11', 'group', '2010', '12', 'holdings', '6mth']","['maruwn corp -2010 11 parent forecast', 'shinozakiya inc -2010 11 parent forecast', 'j-escom holdings -2010 11 parent forecast']"
141,768,141_asa_statements_calendar_filing,"['asa', 'statements', 'calendar', 'filing', 'files', 'sec filing', 'audited', '10k', 'consolidated', 'ended']","['storebrand asa: financial calendar storebrand 2011', 'rieber & s n asa: rie - financial calendar', 'copeinca asa financial calendar 2012']"
142,765,142_steel_tata_profit jumps_jumps,"['steel', 'tata', 'profit jumps', 'jumps', 'profit doubles', 'doubles', 'profit drops', 'profit', 'abb', 'profit surges']","['tata steel lifts riversdale stake', 'steel industry flats & longs', 'tata steel profit more than doubles']"
143,750,143_indonesia_factors watch_factors_watch,"['indonesia', 'factors watch', 'factors', 'watch', 'daily', 'trln', 'indonesian', 'fund performance', 'performance data', 'cbank']","['indonesia - market factors to watch on may 3', 'bank indonesia constrained by weak rupiah', 'stocks news indonesia-indosiar rises on earnings']"
144,742,144_events_holidays_americas_european market,"['events', 'holidays', 'americas', 'european market', 'economic', 'december', 'december 2011', 'emerging', 'december 2010', 'switzerland']","['weu earnings events - part 3', 'emerging markets economic events to may 5', 'top economic events to may 5']"
145,739,145_electric_automotive_vehicle_vehicles,"['electric', 'automotive', 'vehicle', 'vehicles', 'market review', 'hybrid', 'cars', 'ev', 'electric power', 'transportation']","['global market review of automotive electric motors - forecasts to 2026', 'the electric light vehicle report 2013', 'electric vehicle market to stagnate without electric vehicle infrastructure growth']"
146,737,146_acquire_acquisition_agreement_completes,"['acquire', 'acquisition', 'agreement', 'completes', 'bancorp', 'merger', 'completes acquisition', 'community', 'definitive', 'bancshares']","['news corp to acquire move, inc.', 'futureworld hemptech fwdg to acquire interest in verecis', 'grifols to acquire talecris']"
147,731,147_thai_thailand_se asia_se,"['thai', 'thailand', 'se asia', 'se', 'asia', 'asia stocks', 'stocks', 'political', 'nation', 'weak']","['thai airasia to list in bangkok', 'brief-thai c.bank: interest rates still too low', 'thai baht is back in vogue']"
148,727,148_gainers_biggest_biggest price_price,"['gainers', 'biggest', 'biggest price', 'price', 'price monitoring', 'monitoring', 'price increases', 'monitoring extension', 'international', 'pharmaceuticals']","['idt, argon st: biggest price gainers idt, stst', 'enersys, dynavox: biggest price gainers ens, dvox', 'nbty, verenium: biggest price gainers nty, vrnm']"
149,716,149_et_daily_misses_day ahead,"['et', 'daily', 'misses', 'day ahead', 'nov', 'hits', 'day', 'dec', 'ahead', 'concept']","['u.s. canada daily earnings hits & misses may 1 - 1800 et', 'u.s. canada daily earnings hits & misses may 2 - 1800 et', 'u.s. canada daily earnings hits & misses may 1 - 1800 et']"
150,708,150_taiwan_tsmc_stocks_stocks rise,"['taiwan', 'tsmc', 'stocks', 'stocks rise', 'stocks fall', 'stocks end', 'techs', 'hon', 'hai', 'pct']","['brief-taiwan ase posts 0.4 pct fall in july sales', 'taiwan stocks open up 1 pct; nanya, inotera gain', 'taiwan stocks open down almost 2 pct']"
151,705,151_france_french_paris_com,"['france', 'french', 'paris', 'com', 'deficit', 'germany', 'banks', 'lagarde', 'minister', 'crisis']","['french hotelier accor dumps ceo', 'markets-france-benelux stock', 'homewares in france']"
152,702,152_breaches_fiduciary_duty_possible,"['breaches', 'fiduciary', 'duty', 'possible', 'connection', 'investigation', 'board', 'law firm', 'law', 'shareholder']","['shareholder alert: levi & korsinsky, llp announces investigation into possible breaches of fiduciary duty by the board of aerosonic corporation in connection with the sale of the company to transdigm group inc.', 'the law firm of levi & korsinsky, llp launches an investigation into possible breaches of fiduciary duty by the board of telanetix, inc. in connection with the sale of the company to intermedia', 'the law firm of levi & korsinsky, llp announces investigation into possible breaches of fiduciary duty by the board of inx, inc. in connection with the sale of the company to presidio, inc.']"
153,700,153_western_position_31_june 30,"['western', 'position', '31', 'june 30', 'march 31', 'fund portfolio', 'composition', 'income fund', '31 2014', 'asset']","['western asset worldwide income fund inc. announces financial position as of march 31, 2012', 'western asset high income fund inc. announces financial position as of march 31, 2012', 'western asset income fund announces financial position as of march 31, 2012']"
154,698,154_canada_fears_tsx_weigh,"['canada', 'fears', 'tsx', 'weigh', 'lower', 'falls', 'energy stocks', 'miners', 'growth fears', 'turns negative']","['canada stocks-tsx ends down in low volume; miners, energy weigh', 'canada stocks-tsx falls as resource prices weigh on energy, miners', 'china asserts itself in canada']"
155,697,155_yields_euro_bond yields_zone,"['yields', 'euro', 'bond yields', 'zone', 'euro zone', 'german', 'bond', 'ecb', 'yields fall', 'bonds']","['euro zone peripheral bond yields fall', 'expectations of central bank stimulus drive down euro zone bond yields', 'euro zone bond yields drop in anticipation of more ecb stimulus']"
156,692,156_car_auto_makers_rental,"['car', 'auto', 'makers', 'rental', 'sales', 'parts', 'cars', 'dealers', 'takata', 'volvo']","['change the car, change the world: what next for the auto industry', 'european car market has not bottomed out yet', 'a year of clutter for china car market']"
157,684,157_foods_mills_general_kroger,"['foods', 'mills', 'general', 'kroger', 'earnings watch', 'pge', 'wendy', 'philip morris', 'philip', 'morris']","['general mills profit rises', 'general mills profit rises', 'general mills profit']"
158,681,158_times_san francisco_francisco_oct,"['times', 'san francisco', 'francisco', 'oct', 'san', 'appointed', 'week ahead', 'depositary', 'april', 'week']","['financial times - oct 8', 'financial times - oct 1', 'model n recognized for innovation by san francisco business times']"
159,678,159_mortgage_foreclosure_mortgages_homeowners,"['mortgage', 'foreclosure', 'mortgages', 'homeowners', 'borrowers', 'lenders', 'foreclosures', 'residential', 'fraud', 'lending']","['regulator chides mortgage servicers', 'annual report: disturbing correlation between foreclosure activity and mortgage fraud risk', 'the ins and outs of mortgage debt: an update']"
160,678,160_restructuring_judge_bondholders_entertainment,"['restructuring', 'judge', 'bondholders', 'entertainment', 'restructuring plan', 'lawsuits', 'debt restructuring', 'apollo', 'suit', 'creditors']","['claude announces board retirements and restructuring', 'iona energy inc.: restructuring update', 'memc announces global restructuring']"
161,677,161_citi_citigroup_private bank_property,"['citi', 'citigroup', 'private bank', 'property', 'unit', 'ceo', 'retail', 'knight', 'sell', 'trading']","['citi posts $4.4 billion profit', 'citi bandeen on merging trading camps', 'citi provocateur in residence']"
162,676,162_africa_safrica_telecoms_mobile operator,"['africa', 'safrica', 'telecoms', 'mobile operator', 'operator forecast', 'mobile', 'operator', 'african', 'rand', 'broadband']","['wal-mart moves into africa', 'reg - africa opportunityfd - quarterly report', 'reg - africa opportunityfd - quarterly report']"
163,676,163_smartphone_phone_pc_volume,"['smartphone', 'phone', 'pc', 'volume', 'market china', 'key vendors', 'vendors', '3q', 'manufacturing industry', 'taiwanese']","['the greater china notebook pc industry, 3q 2013', 'smartphone market in china 2014', 'smartphone market in china 2011-2015 - discover the key trends and key vendors in this market']"
164,674,164_etfs_commodity_redemption_sec,"['etfs', 'commodity', 'redemption', 'sec', 'securities', 'sl', 'issue', 'holding company', 'foreign', 'oil']","['reg - etfs commodity sec - redemption of etfs commodity securities ltd', 'reg - etfs commodity sec - redemption of etfs commodity securities ltd', 'reg - etfs commodity sec - redemption of etfs commodity securities ltd']"
165,673,165_yield_auction_curve_treasuries,"['yield', 'auction', 'curve', 'treasuries', 'highyield', '10year', '10yr', 'high yield', 'futures', 'eyed']","['managed high yield plus fund inc. - dividend declaration and updated price and yield information', 'four high-yield stocks to buy now', 'jgb 30-year yield falls to 4-week low after auction']"
166,673,166_cagr_grow cagr_grow_market grow,"['cagr', 'grow cagr', 'grow', 'market grow', 'period', 'percent', 'expected grow', 'display', '20102014', 'sensors']","['the global endoscopy market to grow at a cagr of 6.64 percent over the period 2011-2015', 'the global sic semiconductor devices market to grow at a cagr of 31.6 percent over the period 2012-2016', 'the global telecom consulting market to grow at a cagr of 5 percent over the period 2011-2015']"
167,672,167_leaders_flow_money_cash flow,"['leaders', 'flow', 'money', 'cash flow', 'industry leaders', 'exxon mobil', 'mobil', 'exxon', 'cash', 'business leaders']","['microsoft, teradyne: money flow leaders msft, ter', 'oil service holdrs, powershares qqq: money flow leaders oih, qqq', 'apple, at&t: money flow leaders aapl, t']"
168,672,168_malaysia_indicators_corporate earnings_malaysian,"['malaysia', 'indicators', 'corporate earnings', 'malaysian', 'economic', 'star', 'corporate', 'edge', 'factors watch', 'times']","['malaysia banks shelve merger', 'credit scorers head to malaysia', 'malaysia to buy canada gas firm']"
169,672,169_sterling_pound_egyptian_boe,"['sterling', 'pound', 'egyptian', 'boe', 'brexit', 'black market', 'uk', 'dollar', 'vs', 'black']","['pound should profit from fiscal probity', 'sterling could fall to $1.10', 'sterling could be next for a pounding']"
170,670,170_disney_netflix_box_hasbro,"['disney', 'netflix', 'box', 'hasbro', 'dreamworks', 'mattel', 'office', 'dreamworks animation', 'animation', 'movie']","['netflix dreamy deal', 'disney triumphant week mired in tragedy', 'disney earnings should enchant']"
171,668,171_moves_chartered_standard chartered_standard,"['moves', 'chartered', 'standard chartered', 'standard', 'wealth', 'rbc', 'mellon', 'renaissance', 'bny mellon', 'bny']","['standard chartered profit', 'standard chartered moves jobs to london', 'moves-standard chartered, ringkjobing landbobank']"
172,668,172_emerging_emerging market_emergingmarket_economies,"['emerging', 'emerging market', 'emergingmarket', 'economies', 'flows', 'aberdeen', 'crest', 'telecommunications', 'infrastructure fund', 'market']","['emerging market diaper demand boosts sca', 'u.s. investors elevate india over other emerging markets', 'phew emerging from euro fog']"
173,667,173_canada_little changed_changed_little,"['canada', 'little changed', 'changed', 'little', 'tsx', 'miners', 'offset', 'gold miners', 'energy shares', 'higher']","['canada stocks-tsx little changed as u.s. data offset by energy gains', 'canada stocks-tsx little changed, gold miners rise', 'canada stocks-tsx little changed as gain in gold miners offset by energy']"
174,663,174_edges_higher_edges higher_climbs,"['edges', 'higher', 'edges higher', 'climbs', 'gains', 'fed statement', 'street', 'data fed', 'fed', 'rebounds']","['us stocks snapshot - wall st edges up at open; apple climbs', 'us stocks-wall st edges higher as financials gain', 'us stocks-wall st edges higher after retail earnings']"
175,661,175_sales growth_sales_sales rise_cuts outlook,"['sales growth', 'sales', 'sales rise', 'cuts outlook', 'tiffany', 'luxury', 'sales jump', 'slowdown', 'raises outlook', 'cuts']","['accor q2 sales growth slows, outlook stable', 'tiffany sales growth in japan shines', 'acuity brands profit rises 22% on sales growth']"
176,660,176_head_investment banking_names_banking,"['head', 'investment banking', 'names', 'banking', 'hires', 'appoints', 'managing director', 'investment', 'managing', 'names new']","['bailey to head u.k. bank supervisor', 'isabelle kocher to head engie', 'gleacher & company appoints randolph h. barker as head of investment banking and capital markets']"
177,656,177_foundation_giving_veterans_initiative,"['foundation', 'giving', 'veterans', 'initiative', 'campaign', 'nonprofits', 'charity', 'clinton', 'nonprofit', 'launches']","['reply.com opens silicon valley season of giving benefitting the feed foundation and mona foundation', 'national philanthropic trust partners with giving usa foundation', 'foundation bank reports management change']"
178,653,178_cftc_derivatives_swaps_swap,"['cftc', 'derivatives', 'swaps', 'swap', 'rules', 'limits', 'highspeed', 'highfrequency', 'traders', 'sec']","['cftc names chief of new swaps unit', 'cftc misreporting size of swaps market', 'cftc to market manipulators: we re gonna get you']"
179,650,179_south africa_south_africa_african,"['south africa', 'south', 'africa', 'african', 'south african', 'safrica', 'mining', 'congo', 'rand', 'south america']","['analysis: mine tragedy highlights south africa investment risks', 'wealth in south africa: the future of south african hnwis', 'south africa to buy 1,000 locomotives']"
180,650,180_best_revises_subsidiaries_ratings,"['best', 'revises', 'subsidiaries', 'ratings', 'best buy', 'insurance', 'issuer', 'outlook negative', 'outlook positive', 'affirms']","['a.m. best revises outlook to stable for ocaso, s.a. seguros y reaseguros', 'a.m. best affirms ratings ofprudential financial inc. and its subsidiaries', 'a.m. best revises outlook of pvi insurance corporation']"
181,647,181_investec_state street_state_85 ept,"['investec', 'state street', 'state', '85 ept', 'petroleum', 'eur', '85', 'ept', 'credit suisse', 'suisse']","['reg - credit suisse eur investec plc - form 8.5 ept ri - investec plc', 'reg - credit suisse eur investec plc - form 8.5 ept ri - investec plc', 'reg - credit suisse eur investec plc - form 8.5 ept ri - investec plc']"
182,641,182_money_rates_rates rise_china rate,"['money', 'rates', 'rates rise', 'china rate', 'liquidity', 'money supply', 'rate', 'injection', 'm2', 'money market']","['your money-the last taboo: why nobody talks about money', 'where to put your money in 2012', 'money see, moneydue']"
183,641,183_outlook stable_fitch rates_stable_rev,"['outlook stable', 'fitch rates', 'stable', 'rev', 'fitch', 'bonds', 'aaa', 'rates', 'outlook', 'fitch affirms']","['fitch rates meriden, ct go bonds aa- ; outlook stable', 'fitch rates hays cisd, tx ult rfdg bonds; outlook stable', 'fitch rates cleburne, tx go rfdg bonds aa- ; outlook stable']"
184,640,184_property_intellectual property_intellectual_cities,"['property', 'intellectual property', 'intellectual', 'cities', 'home prices', 'land', 'property market', 'home', 'china', 'housing']","['property watch', 'analysis: no sunset yet for china property clampdown', 'how to find unclaimed property']"
185,634,185_small business_small_owners_business owners,"['small business', 'small', 'owners', 'business owners', 'harris', 'business', 'businesses', 'confidence', 'bmo', 'briefs']","['discover small business watchsm: confidence holds steady among small business owners', 'small-business owners less upbeat', 'discover small business watchsm: most small business owners still looking for recovery signs']"
186,630,186_balance sheet_sheet_balance_refinancing,"['balance sheet', 'sheet', 'balance', 'refinancing', 'unaudited', 'tortoise', 'coverage', 'ratio', 'information', 'latest week']","['tortoise mlp fund, inc. provides unaudited balance sheet information and asset coverage ratio update as of jan. 31, 2012', 'how the fed supersized its balance sheet', 'reshaping the balance sheet']"
187,622,187_asian_asian stocks_holidays_stocks,"['asian', 'asian stocks', 'holidays', 'stocks', 'december', 'december 2012', 'december 2011', 'december 2010', 'stocks tumble', 'stocks rally']","['asian morning briefing: u.s. stocks rise', 'asian morning briefing: u.s. stocks decline', 'asian morning briefing: stocks show signs of steadying']"
188,621,188_storage_energy storage_reach_transmission,"['storage', 'energy storage', 'reach', 'transmission', 'surpass', 'smart', 'expected reach', 'billion', '2020', 'grid']","['storage products association to address emerging storage technologies at storage visions 2014', 'data-storage company cloudian raises $41m', 'infocast storage week 2011: the gateway to energy storage']"
189,605,189_futures_natgas_weather_cold,"['futures', 'natgas', 'weather', 'cold', 'futures edge', 'oil futures', 'futures rise', 'futures slip', 'edge', 'eia']","['u.s. natgas futures rise on colder weather forecasts', 'colder weather forecasts back early u.s. natgas futures gains', 'u.s. june natgas futures expire down 5 pct']"
190,603,190_buyout_long_pa_longterm,"['buyout', 'long', 'pa', 'longterm', 'investigation', 'shareholder', 'alert', 'long term', 'term', 'investigates']","['anaren, inc. shareholder alert: rigrodsky & long, p.a. announces investigation of buyout', 'rigrodsky & long, p.a. announces investigation of ceradyne, inc. buyout', 'rigrodsky & long, p.a. announces investigation of conceptus, inc. buyout']"
191,601,191_pension_pensions_pension fund_pension funds,"['pension', 'pensions', 'pension fund', 'pension funds', 'funded', 'illinois', 'fund', 'public', 'status', 'funds']","['canada biggest pension fund produces 3.4% annual return', 'canada pension fund, europe cinven to buy hotelbeds', 'aksia fills pension slots']"
192,597,192_finra_brokers_broker_sec,"['finra', 'brokers', 'broker', 'sec', 'rule', 'brokerage', 'watchdog', 'brokerages', 'fines', 'dealer']","['finra scrub of broker records yields frustration, results', 'heffernan insurance brokers joins global broker network, unisonbrokers', 'finra opens probe into broker routing']"
193,596,193_turkey_turkish_lira_central bank,"['turkey', 'turkish', 'lira', 'central bank', 'central', 'eurobond', 'cbank', 'rate', 'inflation', 'watchdog']","['turkey shores up currency', 'turkey cuts inflation outlook', 'turkey gas markets, 2012']"
194,595,194_future_energy future_sunedison_bankruptcy,"['future', 'energy future', 'sunedison', 'bankruptcy', 'creditors', 'nextera', 'energy', 'future growth', 'future outlook', 'bright']","['sheila bair on the future of finance', 'the future of journalism in the uk', 'interfacing with the future']"
